,id,first,last,,state,party
0,A000360,Lamar,Alexander,,TN,R
1,B001230,Tammy,Baldwin,,WI,D
2,B001261,John,Barrasso,,WY,R
3,B001267,Michael,Bennet,,CO,D
4,B001243,Marsha,Blackburn,,TN,R
5,B001277,Richard,Blumenthal,,CT,D
6,B000575,Roy,Blunt,,MO,R
7,B001288,Cory,Booker,,NJ,D
8,B001236,John,Boozman,,AR,R
9,B001310,Michael,Braun,,IN,R
10,B000944,Sherrod,Brown,,OH,D
11,B001135,Richard,Burr,,NC,R
12,C000127,Maria,Cantwell,,WA,D
13,C001047,Shelley,Capito,,WV,R
14,C000141,Benjamin,Cardin,,MD,D
15,C000174,Thomas,Carper,,DE,D
16,C001070,Robert,Casey,,PA,D
17,C001075,Bill,Cassidy,,LA,R
18,C001035,Susan,Collins,,ME,R
19,C001088,Christopher,Coons,,DE,D
20,C001056,John,Cornyn,,TX,R
21,C001113,Catherine,Cortez Masto,,NV,D
22,C001095,Thomas,Cotton,,AR,R
23,C001096,Kevin,Cramer,,ND,R
24,C000880,Michael,Crapo,,ID,R
25,C001098,Rafael,Cruz,,TX,R
26,D000618,Steve,Daines,,MT,R
27,D000622,Tammy,Duckworth,,IL,D
28,D000563,Richard,Durbin,,IL,D
29,E000285,Michael,Enzi,,WY,R
30,E000295,Joni,Ernst,,IA,R
31,F000062,Dianne,Feinstein,,CA,D
32,F000463,Debra,Fischer,,NE,R
33,G000562,Cory,Gardner,,CO,R
34,G000555,Kirsten,Gillibrand,,NY,D
35,G000359,Lindsey,Graham,,SC,R
36,G000386,Charles,Grassley,,IA,R
37,H001075,Kamala,Harris,,CA,D
38,H001076,Margaret,Hassan,,NH,D
39,H001089,Joshua,Hawley,,MO,R
40,H001046,Martin,Heinrich,,NM,D
41,H001042,Mazie,Hirono,,HI,D
42,H001061,John,Hoeven,,ND,R
43,H001079,Cindy,Hyde-Smith,,MS,R
44,I000024,James,Inhofe,,OK,R
45,I000055,Johnny,Isakson,,GA,R
46,J000293,Ron,Johnson,,WI,R
47,J000300,Gordon,Jones,,AL,D
48,K000384,Timothy,Kaine,,VA,D
49,K000377,Mark,Kelly,,AZ,D
50,K000393,John,Kennedy,,LA,R
51,K000383,Angus,King,,ME,D
52,K000367,Amy,Klobuchar,,MN,D
53,L000575,James,Lankford,,OK,R
54,L000174,Patrick,Leahy,,VT,D
55,L000577,Mike,Lee,,UT,R
56,L000594,Kelly,Loeffler,,GA,R
57,M001183,Joe,Manchin,,WV,D
58,M000133,Edward,Markey,,MA,D
59,M000355,Addison,McConnell,,KY,R
60,M001197,Martha,McSally,,AZ,R
61,M000639,Robert,Menendez,,NJ,D
62,M001176,Jeff,Merkley,,OR,D
63,M000934,Jerry,Moran,,KS,R
64,M001153,Lisa,Murkowski,,AK,R
65,M001169,Christopher,Murphy,,CT,D
66,M001111,Patty,Murray,,WA,D
67,P000603,Rand,Paul,,KY,R
68,P000612,David,Perdue,,GA,R
69,P000595,Gary,Peters,,MI,D
70,P000449,Robert,Portman,,OH,R
71,R000122,John,Reed,,RI,D
72,R000584,James,Risch,,ID,R
73,R000307,Charles,Roberts,,KS,R
74,R000615,Willard,Romney,,UT,R
75,R000608,Jacklyn,Rosen,,NV,D
76,R000605,Marion,Rounds,,SD,R
77,R000595,Marco,Rubio,,FL,R
78,S000033,Bernard,Sanders,,VT,D
79,S001197,Benjamin,Sasse,,NE,R
80,S001194,Brian,Schatz,,HI,D
81,S000148,Charles,Schumer,,NY,D
82,S001217,Richard,Scott,,FL,R
83,S001184,Tim,Scott,,SC,R
84,S001181,Jeanne,Shaheen,,NH,D
85,S000320,Richard,Shelby,,AL,R
86,S001191,Kyrsten,Sinema,,AZ,D
87,S001203,Tina,Smith,,MN,D
88,S000770,Deborah,Stabenow,,MI,D
89,S001198,Daniel,Sullivan,,AK,R
90,T000464,Jon,Tester,,MT,D
91,T000250,John,Thune,,SD,R
92,T000476,Thomas,Tillis,,NC,R
93,T000461,Patrick,Toomey,,PA,R
94,U000039,Thomas,Udall,,NM,D
95,V000128,Christopher,Van Hollen,,MD,D
96,W000805,Mark,Warner,,VA,D
97,W000817,Elizabeth,Warren,,MA,D
98,W000802,Sheldon,Whitehouse,,RI,D
99,W000437,Roger,Wicker,,MS,R
100,W000779,Ronald,Wyden,,OR,D
101,Y000064,Todd,Young,,IN,R